brand_id,brand_name,categories,city,country,region,phone,email,website,instagram,facebook,source,source_url,scraped_date
c751d56f7227,Anatomy,N/A,Paris,France,Europe,+33 (0)6 12 47 57 64,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/anatomy,2025-11-13
559aef45353a,Antik Batik,Women's RTW,Paris,France,Europe,+33 (0)1 48 87 90 29,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/antikbatik,2025-11-13
6dc2c4419e27,Beams Boy,N/A,Paris,France,Europe,+81 (0)80 16 10 32 09,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_boy_fashion_brand,2025-11-13
bd9e90bf5e89,Beams Japan,N/A,Paris,France,Europe,+81 (0)80 1610 3209,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_japan_fashion_brand,2025-11-13
6e6f285e907e,Begg x Co,N/A,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beggeco,2025-11-13
a657f759e272,ByCookieH.,Women's RTW,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/by_cookie_h_brand,2025-11-13
278cd0649ba4,Camalya,N/A,Paris,France,Europe,+33 (0)6 16 38 85 97,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/camalya,2025-11-13
4ec6cd17d96d,Cazabat,Women's Accessories,Paris,France,Europe,+39 335 199 76 92,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanmichelcazabat,2025-11-13
6415a2aa67e7,Celine Kwan,N/A,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/celine_kwan_fashion_brand,2025-11-13
fe01ce2a7fba,Demo,N/A,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/demo,2025-11-13
fb012d24cf71,EBIT™,N/A,Paris,France,Europe,+393478096923,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ebit-tm_fashion_brand,2025-11-13
ffe8735bd254,Elena Pogodaeva,N/A,Paris,France,Europe,37 20143,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,2025-11-13
7b103633fc90,Eres,N/A,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/eres_paris,2025-11-13
a96fd3894419,Ernest Leoty,N/A,Paris,France,Europe,+33 (0)679378559,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ernestleoty_fashion_brand,2025-11-13
26cae7718c32,Facebook Instagram,N/A,Paris,France,Europe,+90 533 430 4828,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showappshowroom,2025-11-13
b0789aab10a4,Facebook Twitter Instagram,N/A,Paris,France,Europe,+973 3811 1260,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,2025-11-13
06c7b84cfdc1,Facetasm,N/A,Paris,France,Europe,+33 (0) 6 83 33 17 15,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/facetasm,2025-11-13
8bec46c0585e,Ferronato,"Men's Accessories, Women's Accessories",Paris,France,Europe,+41(0)796958040,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ferronato_fashion_accessories,2025-11-13
e8e597814ea3,Gas Isaj Orges Isaj,N/A,Paris,France,Europe,26 20135,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
3cdb5955855b,Geoffrey B. Small,N/A,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/geoffreybsmall,2025-11-13
42641d0a2ea6,Goti,Women's Accessories,Paris,France,Europe,8 - 20135,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/gotijewelry,2025-11-13
4c4cb94355fd,Guidi,"Women's RTW, Men's RTW",Paris,France,Europe,+39 391 159 83 26,N/A,N/A,N/A,N/A,designer_showrooms,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/guidi,2025-11-13
